,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
372,Kargat,76,RU,1549822222,64,55.19,80.28,-8.32,3.06
373,Ca Mau,88,VN,1549822223,90,9.18,105.15,76.83,10.0
374,Ciudad Bolivar,0,VE,1549822223,34,8.12,-63.55,94.06,13.69
375,River Falls,92,US,1549820760,85,44.86,-92.63,15.8,9.17
376,Muswellbrook,0,AU,1549822223,86,-32.27,150.89,53.79,2.51
377,Long,44,CN,1549822224,89,19.18,109.54,66.84,3.18
378,Port Hardy,75,CA,1549818000,68,50.7,-127.42,28.4,8.05
379,Kaeo,0,NZ,1549822224,86,-35.1,173.78,57.12,6.08
380,Caravelas,0,BR,1549822225,100,-17.73,-39.27,83.04,16.93
381,Coihaique,40,CL,1549818000,37,-45.58,-72.07,55.4,8.05
382,Silopi,76,IQ,1549822226,99,37.25,42.47,42.09,2.51
383,Hambantota,0,LK,1549822226,100,6.12,81.12,78.63,12.8
384,Bagojo,90,MX,1549817280,63,25.87,-109.12,64.4,9.17
385,Buraydah,75,SA,1549818000,100,26.33,43.97,51.8,6.93
386,Shimoda,92,JP,1549822227,100,34.7,138.93,44.16,15.48
387,Taunggyi,12,MM,1549822227,82,20.78,97.03,50.64,2.17
388,Mareeba,0,AU,1549819800,66,-16.99,145.42,84.2,6.93
389,Port Hedland,40,AU,1549819800,79,-20.31,118.58,84.2,9.17
390,Sao Mateus,8,BR,1549822217,82,-18.72,-39.86,84.48,13.47
391,Cumberland,20,US,1549821060,35,41.97,-71.43,35.06,10.29
392,Wanganui,0,NZ,1549821980,100,-39.93,175.05,59.05,3.18
393,Provideniya,48,RU,1549821968,100,64.42,-173.23,22.06,12.01
394,Mogadishu,0,SO,1549821961,99,2.04,45.34,79.03,15.7
395,Eregli,88,TR,1549822230,98,37.51,34.05,36.01,2.62
396,Constanza,40,DO,1549818000,65,18.91,-70.74,80.6,10.29
397,Agadez,0,NE,1549818000,14,16.97,7.99,77.0,25.28
398,Polis,20,CY,1549819800,76,35.04,32.42,50.0,4.7
399,Naze,0,NG,1549818000,45,5.43,7.07,87.8,2.24
400,Torrox,20,ES,1549819800,48,36.76,-3.95,62.6,20.8
401,Grand Gaube,75,MU,1549818000,74,-20.01,57.66,78.8,8.05
402,Tres Arroyos,0,AR,1549822232,39,-38.38,-60.28,80.56,14.03
403,Kedrovyy,0,RU,1549819800,74,56.17,91.82,-23.81,2.24
404,Madang,88,PG,1549822233,100,-5.21,145.81,75.93,5.75
405,Marsa Matruh,20,EG,1549818000,67,31.35,27.25,57.2,9.17
406,Burns Lake,76,CA,1549822234,76,54.23,-125.76,2.89,2.95
407,Vilyuysk,48,RU,1549822234,54,63.75,121.63,-10.43,6.42
408,Fairbanks,90,US,1549817880,85,64.84,-147.72,10.04,11.23
409,Brae,76,GB,1549819200,100,60.4,-1.35,39.2,21.92
410,Hinganghat,0,IN,1549819800,44,20.55,78.84,60.8,6.53
411,Srem,40,BG,1549818000,70,42.05,26.48,42.8,4.7
412,Coquimbo,0,CL,1549818000,72,-29.95,-71.34,68.0,14.99
413,Upata,0,VE,1549822236,34,8.02,-62.41,90.73,8.77
414,Lujiang,90,CN,1549818000,86,31.26,117.28,30.2,2.24
415,Korgen,88,NO,1549821000,85,66.08,13.83,24.8,2.17
416,Rawson,88,AR,1549822237,29,-43.3,-65.11,64.86,17.27
417,Coahuayana,0,MX,1549822237,28,18.62,-100.35,81.78,3.18
418,Sabha,0,LY,1549822238,47,27.03,14.43,52.44,5.08
419,Nortelandia,36,BR,1549822238,93,-14.45,-56.8,83.8,4.97
420,Escanaba,90,US,1549820100,81,45.75,-87.06,21.2,9.17
421,Manuk Mangkaw,0,PH,1549822238,100,4.8,119.85,81.64,6.64
422,Buenos Aires,20,AR,1549818000,59,-34.61,-58.44,93.2,9.17
423,Dabat,0,ET,1549822239,50,12.98,37.77,60.09,1.95
424,Kloulklubed,75,PW,1549817400,78,7.04,134.26,78.8,5.82
425,Chake Chake,0,TZ,1549822239,95,-5.25,39.77,82.41,13.47
426,La Asuncion,88,EC,1549822240,94,-1.64,-78.74,52.39,2.06
427,Tateyama,88,JP,1549822240,97,36.66,137.31,18.87,2.28
428,Kenai,90,US,1549817760,95,60.55,-151.26,26.06,9.17
429,Tiznit,0,MA,1549822240,69,29.7,-9.73,67.29,4.52
430,Srednekolymsk,24,RU,1549822241,41,67.46,153.71,-26.36,3.29
431,Vasteras,32,SE,1549819200,83,59.62,16.55,39.2,14.99
432,Alta Floresta,75,BR,1549818000,66,-9.87,-56.08,89.6,2.24
433,Gizo,40,IL,1549819200,82,31.8,34.94,59.0,8.05
434,Shache,0,CN,1549822242,67,38.42,77.24,19.45,2.84
435,Faanui,92,PF,1549822243,100,-16.48,-151.75,82.81,6.64
436,Yishui,0,CN,1549822243,72,35.78,118.63,12.79,5.86
437,Rameswaram,0,IN,1549822244,100,9.28,79.3,80.74,19.28
438,Batsfjord,75,NO,1549819200,92,70.63,29.72,30.2,3.36
439,Quatre Cocos,75,MU,1549818000,74,-20.21,57.76,78.8,8.05
440,Genhe,24,CN,1549822244,0,50.78,121.52,-27.44,4.74
441,Kalmunai,100,LK,1549822245,95,7.42,81.82,75.84,4.74
442,Cacu,12,BR,1549822245,82,-18.56,-51.13,85.29,5.86
443,Samarai,0,PG,1549822245,100,-10.62,150.67,83.44,27.45
444,Mount Darwin,76,ZW,1549822245,59,-16.77,31.58,78.54,6.64
445,Soe,88,EE,1549817400,93,57.91,26.05,37.4,9.17
446,Sola,90,FI,1549819200,93,62.78,29.36,35.6,12.75
447,Denpasar,40,ID,1549819800,78,-8.65,115.22,82.4,2.24
448,Havre-Saint-Pierre,20,CA,1549820100,50,50.23,-63.6,5.0,25.28
449,Mount Isa,0,AU,1549819800,82,-20.73,139.49,64.4,3.36
450,Igarka,76,RU,1549822247,68,67.47,86.57,-4.63,13.69
451,Daru,8,SL,1549822247,36,7.99,-10.85,93.61,5.64
452,Togitsu,75,JP,1549818000,87,32.83,129.83,44.6,4.7
453,Bukachacha,0,RU,1549822248,36,52.99,116.91,-25.6,2.62
454,Smidovich,0,RU,1549822249,54,48.6,133.81,-10.3,6.08
455,Hervey Bay,90,AU,1549819920,94,-25.3,152.85,77.0,5.82
456,Newport,20,GB,1549819200,75,51.59,-3.0,44.6,13.87
457,Bolshaya Dzhalga,92,RU,1549822250,90,45.97,42.7,33.76,10.67
458,Dutse,0,NG,1549822250,22,11.76,9.34,77.37,11.23
459,Parrita,20,CR,1549821600,53,9.52,-84.33,78.8,21.92
460,Mabaruma,80,GY,1549822250,74,8.2,-59.78,81.55,8.21
461,Kilindoni,0,TZ,1549822251,97,-7.91,39.67,83.67,13.13
462,Mega,0,ET,1549822251,35,4.06,38.32,72.96,10.0
463,Pyapon,0,MM,1549822251,92,16.29,95.68,70.93,7.31
464,Zyryanka,24,RU,1549822251,42,65.73,150.89,-27.13,2.51
465,Teya,75,MX,1549817100,54,21.05,-89.07,82.4,8.05
466,Fort Nelson,75,CA,1549818000,85,58.81,-122.69,19.4,10.29
467,Sulam,75,IL,1549817400,76,32.61,35.33,55.4,3.36
468,Kuandian,0,CN,1549822253,54,40.73,124.78,-11.02,2.51
469,Havelock,40,US,1549817880,60,34.88,-76.9,53.96,11.41
470,Silver City,90,US,1549820100,30,32.77,-108.28,47.48,10.29
471,Glogow,92,PL,1549822257,92,51.66,16.08,41.19,15.59
472,Qandala,0,SO,1549822257,100,11.47,49.87,66.57,2.84
473,Tual,20,ID,1549822257,98,-5.67,132.75,83.94,11.79
474,Pouembout,76,NC,1549822257,88,-21.12,164.9,74.08,6.42
475,Lompoc,90,US,1549820460,100,34.64,-120.46,53.06,13.87
476,Hanko,0,FI,1549822258,85,59.83,22.95,34.62,18.05
477,Mahebourg,75,MU,1549818000,74,-20.41,57.7,78.8,8.05
478,Airai,80,TL,1549822259,93,-8.93,125.41,70.3,0.94
479,Kuito,92,AO,1549822259,100,-12.38,16.94,63.46,4.74
480,Srivardhan,0,IN,1549822259,92,18.03,73.02,63.55,2.73
481,Oktyabrskoye,0,RU,1549818000,53,56.73,85.44,-2.21,6.71
482,Yerbogachen,20,RU,1549822260,84,61.28,108.01,-19.61,6.76
483,Ngunguru,0,NZ,1549822260,100,-35.62,174.5,67.6,12.68
484,Kungsbacka,90,SE,1549821000,100,57.49,12.08,35.6,6.93
485,Gweta,80,BW,1549822261,45,-20.21,25.26,85.92,4.74
486,Batagay-Alyta,32,RU,1549822261,0,67.8,130.41,-32.53,2.28
487,Gladstone,40,AU,1549819800,78,-23.84,151.26,78.8,4.7
488,Qaqortoq,48,GL,1549817400,40,60.72,-46.03,33.8,40.26
489,Meulaboh,80,ID,1549822262,100,4.14,96.13,76.6,8.1
490,Chacabuco,32,AR,1549822263,44,-34.64,-60.47,94.96,11.01
491,Wahiawa,20,US,1549821180,63,21.5,-158.02,69.8,17.22
492,Atasu,44,KZ,1549822263,60,48.68,71.64,0.55,5.53
493,Gazojak,92,TM,1549822263,99,41.19,61.4,35.56,5.53
494,Namatanai,32,PG,1549822264,100,-3.66,152.44,80.34,11.34
495,Zhigansk,48,RU,1549822264,29,66.77,123.37,-19.97,3.51
496,Carlos Antonio Lopez,56,PY,1549822264,75,-26.4,-54.77,82.77,3.29
497,Orangeburg,90,US,1549821300,51,33.49,-80.86,48.2,8.05
498,Upington,20,ZA,1549818000,31,-28.46,21.24,91.4,13.87
499,Wilhelmshaven,75,DE,1549820700,93,53.53,8.11,39.2,21.92
500,Thornton,90,US,1549820220,86,39.87,-104.98,33.98,2.95
501,Fare,88,PF,1549822266,100,-16.7,-151.02,82.63,6.87
502,Kedgwick,32,CA,1549822266,43,47.65,-67.35,11.58,12.35
503,Saint-Lo,0,FR,1549819800,70,49.12,-1.09,44.6,21.92
504,Palu,68,ID,1549822267,97,-0.9,119.87,66.34,1.39
505,Paamiut,80,GL,1549822267,81,61.99,-49.67,35.61,21.3
506,Trinidad,0,UY,1549822268,50,-33.52,-56.9,93.61,8.99
507,Mildura,0,AU,1549818000,59,-34.18,142.16,60.8,5.82
508,Yairipok,0,IN,1549822268,84,24.67,94.07,46.14,1.95
509,Thinadhoo,32,MV,1549822269,100,0.53,72.93,83.71,8.77
510,San Luis de Planes,40,HN,1549821600,61,14.98,-88.13,82.4,2.24
511,Shalinskoye,8,RU,1549822269,0,55.72,93.76,-37.16,2.73
512,Mehamn,90,NO,1549819200,85,71.03,27.85,26.6,2.24
513,Wenchi,0,GH,1549822270,28,7.74,-2.1,86.05,7.99
514,Marsh Harbour,12,BS,1549822270,100,26.54,-77.06,74.8,21.52
515,High Prairie,0,CA,1549822270,65,55.43,-116.48,-16.01,2.95
516,Karibib,0,NA,1549822271,42,-21.94,15.86,79.89,5.97
517,Cabo San Lucas,20,MX,1549816800,41,22.89,-109.91,75.2,3.18
518,Hays,1,US,1549817760,63,38.88,-99.33,37.04,9.17
519,Lazaro Cardenas,90,MX,1549816800,39,28.39,-105.62,60.8,4.97
520,Jaguarao,48,BR,1549822217,83,-32.57,-53.38,80.79,15.37
521,Okhotsk,36,RU,1549822272,100,59.36,143.24,-10.57,6.53
522,Santa Maria,40,BR,1549818000,62,-29.69,-53.81,86.0,10.29
523,Taos,0,US,1549820100,19,36.41,-105.57,35.96,11.41
524,Morro Bay,90,US,1549821060,93,35.37,-120.85,53.06,11.41
525,Penzance,40,GB,1549819200,65,50.12,-5.53,44.6,23.04
526,Fuzhou,90,CN,1549818000,100,26.08,119.3,48.2,13.42
527,Sinnamary,92,GF,1549822274,92,5.38,-52.96,80.43,12.01
528,Kirakira,92,SB,1549822274,100,-10.46,161.92,82.41,27.67
529,Pangody,48,RU,1549822275,64,65.85,74.49,-13.9,13.8
530,Yueyang,100,CN,1549822275,96,29.36,113.12,29.53,4.18
531,Cardston,1,CA,1549818000,68,49.2,-113.32,-18.41,5.82
532,Brake,75,DE,1549819200,75,52.07,8.6,46.4,12.75
533,Waddan,0,LY,1549822276,63,29.16,16.14,47.26,2.95
534,Juneau,20,US,1549817760,91,58.3,-134.42,12.92,5.82
535,Goderich,48,CA,1549822277,90,43.74,-81.71,21.57,4.97
536,Moose Factory,75,CA,1549818000,54,51.26,-80.61,3.2,13.87
537,Kropotkin,88,RU,1549822277,97,45.43,40.58,39.88,2.28
538,Nizhniy Kuranakh,48,RU,1549822277,52,58.84,125.49,-10.75,5.97
539,Hami,92,CN,1549822278,70,42.84,93.51,19.9,3.06
540,Minot,90,US,1549820520,70,48.23,-101.3,-5.98,8.05
541,Skjervoy,40,NO,1549817400,67,70.03,20.97,19.4,14.99
542,Asyut,20,EG,1549818000,58,27.18,31.19,59.0,9.17
543,Ciudad del Maiz,0,MX,1549822279,65,22.4,-99.6,67.47,1.39
544,Sale,20,GB,1549819200,94,53.42,-2.32,42.8,11.41
545,Prado,0,BR,1549822280,94,-17.34,-39.22,82.68,16.49
546,Greenwood,88,US,1549820100,81,32.03,-101.9,43.7,10.29
547,Maltahohe,92,NA,1549822282,50,-24.83,16.98,78.54,8.99
